39	50
14.1699	46.85	50
14.1717	46.85	50
14.1734	44.47	50
14.1751	43.91	50
14.1768	45.63	50
14.1785	47.98	50
14.1802	46.54	50
14.1820	44.33	50
14.1837	44.33	50
14.1854	45.78	50
14.1871	45.78	50
14.1889	46.85	50
14.1906	45.04	50
14.1923	44.33	50
14.1940	44.19	50
14.1957	46.39	50
14.1974	47.01	50
14.1992	47.01	50
14.2009	44.47	50
14.2026	44.47	50
14.2043	45.93	50
14.2060	48.65	50
14.2077	47.17	50
14.2095	45.04	50
14.2112	44.47	50
14.2129	46.08	50
14.2146	46.08	50
14.2163	47.17	50
14.2181	47.17	50
14.2198	44.47	50
14.2215	43.91	50
14.2232	45.48	50
14.2249	47.98	50
14.2267	46.85	50
14.2284	44.47	50
14.2301	44.47	50
14.2318	46.08	50
14.2336	46.08	50
14.2353	46.85	50
14.2370	45.04	50
14.2387	44.47	50
14.2405	44.33	50
14.2422	46.39	50
14.2439	47.49	50
14.2456	47.49	50
14.2474	44.90	50
14.2491	44.33	50
14.2508	46.23	50
14.2525	48.65	50
14.2543	47.17	50
14.2560	44.33	50
14.2577	44.33	50
14.2594	46.08	50
14.2611	46.08	50
14.2628	47.33	50
14.2646	45.19	50
14.2663	44.33	50
14.2680	44.05	50
14.2697	46.39	50
14.2715	47.17	50
14.2732	47.17	50
14.2749	44.75	50
14.2766	44.75	50
14.2783	46.23	50
14.2800	48.65	50
14.2818	47.01	50
14.2835	44.90	50
14.2852	44.33	50
14.2869	46.39	50
14.2886	46.39	50
14.2903	46.54	50
14.2921	46.54	50
14.2938	44.19	50
14.2955	43.63	50
14.2972	45.33	50
14.2990	47.98	50
14.3007	46.70	50
14.3024	44.61	50
14.3041	44.61	50
14.3058	46.23	50
14.3075	46.23	50
14.3092	46.85	50
14.3109	45.04	50
14.3126	44.19	50
14.3143	43.91	50
14.3161	46.08	50
14.3178	47.33	50
14.3195	47.33	50
14.3212	44.33	50
14.3230	44.33	50
14.3247	45.93	50
14.3264	48.31	50
14.3282	46.70	50
14.3299	44.75	50
14.3316	44.19	50
14.3333	46.08	50
14.3350	46.08	50
14.3368	46.85	50
14.3385	46.85	50
14.3402	44.33	50
14.3419	43.91	50
14.3436	45.78	50
14.3453	48.15	50
14.3471	46.70	50
14.3488	44.05	50
14.3505	44.05	50
14.3522	45.93	50
14.3539	45.93	50
14.3557	46.70	50
14.3574	44.90	50
14.3591	44.47	50
14.3608	44.33	50
14.3626	46.54	50
14.3643	47.33	50
14.3660	47.33	50
14.3677	44.61	50
14.3694	44.61	50
14.3711	46.23	50
14.3728	48.82	50
14.3745	47.01	50
14.3762	44.75	50
14.3780	44.05	50
14.3797	46.23	50
14.3814	46.23	50
14.3831	46.39	50
14.3849	46.39	50
14.3866	44.19	50
14.3883	43.77	50
14.3900	45.63	50
14.3917	48.15	50
14.3935	46.85	50
14.3952	44.47	50
14.3969	44.47	50
14.3986	45.78	50
14.4003	45.78	50
14.4020	47.33	50
14.4037	45.48	50
14.4054	44.90	50
14.4071	44.33	50
14.4088	46.08	50
14.4106	47.17	50
14.4123	47.17	50
14.4140	44.33	50
14.4157	44.33	50
14.4175	45.93	50
14.4192	48.65	50
14.4209	47.17	50
14.4226	45.19	50
14.4244	44.47	50
14.4261	46.23	50
14.4278	46.23	50
14.4295	46.85	50
14.4312	46.85	50
14.4329	44.33	50
14.4346	43.77	50
14.4363	45.33	50
14.4381	47.98	50
14.4398	46.85	50
14.4415	44.75	50
14.4432	44.75	50
14.4450	45.93	50
14.4467	45.93	50
14.4484	47.01	50
14.4501	45.33	50
14.4518	44.90	50
14.4535	44.61	50
14.4553	46.85	50
14.4570	47.33	50
14.4587	47.33	50
14.4604	45.19	50
14.4621	45.19	50
14.4638	46.08	50
14.4655	48.31	50
14.4672	46.85	50
14.4690	45.19	50
14.4707	44.47	50
14.4724	46.08	50
14.4741	46.08	50
14.4758	46.85	50
14.4775	46.85	50
14.4793	44.19	50
14.4810	43.63	50
14.4827	45.33	50
14.4844	48.15	50
14.4861	47.01	50
14.4878	44.75	50
14.4896	44.75	50
14.4913	46.08	50
14.4930	46.08	50
14.4947	47.17	50
14.4964	45.19	50
14.4981	44.61	50
14.4998	44.19	50
14.5015	46.39	50
14.5032	47.49	50
14.5075	47.49	50
14.5067	44.75	50
14.5084	44.75	50
14.5101	46.08	50
14.5118	48.65	50
14.5135	47.33	50
14.5153	45.04	50
14.5170	44.05	50
14.5187	46.23	50
14.5204	46.23	50
14.5221	46.70	50
14.5239	46.70	50
14.5256	44.33	50
14.5273	43.77	50
14.5290	45.48	50
14.5307	47.98	50
14.5324	46.85	50
14.5342	44.61	50
14.5359	44.61	50
14.5376	45.78	50
14.5394	45.78	50
14.5411	47.01	50
14.5428	45.04	50
14.5445	44.61	50
14.5463	44.47	50
14.5480	46.54	50
14.5497	47.49	50
14.5514	47.49	50
14.5532	44.61	50
14.5549	44.61	50
14.5566	46.08	50
14.5583	48.65	50
14.5600	47.33	50
14.5617	45.19	50
14.5634	44.33	50
14.5651	46.08	50
14.5669	46.08	50
14.5686	47.01	50
14.5703	47.01	50
14.5720	44.33	50
14.5737	43.77	50
14.5754	45.63	50
14.5771	48.31	50
14.5789	47.01	50
14.5806	44.05	50
14.5823	44.05	50
14.5840	45.93	50
14.5857	45.93	50
14.5874	47.17	50
14.5891	45.04	50
14.5909	44.33	50
14.5926	44.19	50
14.5943	46.39	50
14.5960	47.33	50
14.5977	47.33	50
14.5994	44.47	50
14.6012	44.47	50
14.6029	45.48	50
14.6046	48.15	50
14.6063	47.01	50
14.6080	45.04	50
14.6097	44.47	50
14.6114	46.08	50
14.6131	46.08	50
14.6149	46.85	50
14.6166	46.85	50
14.6183	44.33	50
14.6200	43.77	50
14.6217	45.48	50
14.6234	47.98	50
14.6252	47.01	50
14.6269	44.75	50
14.6286	44.75	50
14.6303	46.08	50
14.6320	46.08	50
14.6337	47.17	50
14.6355	45.19	50
14.6372	44.33	50
14.6389	44.19	50
14.6406	46.39	50
14.6423	47.49	50
14.6441	47.49	50
14.6458	44.90	50
14.6475	44.90	50
14.6492	45.93	50
14.6509	48.48	50
14.6527	47.01	50
14.6544	45.19	50
14.6561	44.61	50
14.6579	45.93	50
14.6596	45.93	50
14.6613	46.70	50
14.6630	46.70	50
14.6647	44.33	50
14.6665	43.91	50
14.6682	45.78	50
14.6699	48.31	50
14.6716	47.01	50
14.6733	44.61	50
14.6750	44.61	50
14.6767	46.08	50
14.6784	46.08	50
14.6801	46.85	50
14.6818	45.04	50
14.6836	44.33	50
14.6853	44.05	50
14.6870	46.23	50
14.6887	47.33	50
14.6904	47.33	50
14.6921	44.61	50
14.6939	44.61	50
14.6956	46.08	50
14.6973	48.48	50
14.6990	46.85	50
14.7007	44.90	50
14.7025	44.47	50
14.7042	46.39	50
14.7059	46.39	50
14.7076	46.85	50
14.7093	46.85	50
14.7110	44.33	50
14.7127	43.77	50
14.7144	45.33	50
14.7162	47.82	50
14.7179	46.70	50
14.7196	44.61	50
14.7213	44.61	50
14.7230	46.23	50
14.7248	46.23	50
14.7265	47.17	50
14.7282	45.33	50
14.7299	44.61	50
14.7316	44.19	50
14.7334	46.23	50
14.7351	47.33	50
14.7368	47.33	50
14.7385	44.75	50
14.7403	44.75	50
14.7420	46.23	50
14.7437	48.65	50
14.7454	46.85	50
14.7471	45.04	50
14.7488	44.47	50
14.7506	46.08	50
14.7522	46.08	50
14.7540	46.85	50
14.7557	46.85	50
14.7574	44.33	50
14.7591	43.77	50
14.7608	45.48	50
14.7626	47.98	50
14.7643	46.70	50
14.7660	44.33	50
14.7677	44.33	50
14.7695	45.93	50
14.7712	45.93	50
14.7729	47.33	50
14.7746	45.19	50
14.7763	44.47	50
14.7780	44.19	50
14.7797	46.39	50
14.7815	47.33	50
14.7832	47.33	50
14.7849	44.75	50
14.7866	44.75	50
14.7883	46.08	50
14.7901	48.48	50
14.7918	47.01	50
14.7935	45.04	50
14.7952	44.33	50
14.7970	45.78	50
14.7987	45.78	50
14.8004	47.01	50
14.8021	47.01	50
14.8038	45.33	50
14.8055	44.61	50
14.8072	46.08	50
14.8089	48.31	50
14.8106	46.85	50
14.8123	44.19	50
14.8140	44.19	50
14.8157	45.78	50
14.8175	45.78	50
14.8192	46.70	50
14.8209	45.04	50
14.8226	44.61	50
14.8244	44.33	50
14.8261	46.54	50
14.8278	47.65	50
14.8295	47.65	50
14.8312	44.75	50
14.8329	44.75	50
14.8347	46.39	50
14.8363	48.65	50
14.8381	47.17	50
14.8398	45.04	50
14.8415	44.05	50
14.8432	46.08	50
14.8449	46.08	50
14.8467	46.85	50
14.8484	46.85	50
14.8501	44.33	50
14.8518	43.77	50
14.8535	45.48	50
14.8552	47.98	50
14.8570	47.01	50
14.8587	44.33	50
14.8604	44.33	50
14.8621	45.78	50
14.8639	45.78	50
14.8656	47.17	50
14.8673	45.48	50
14.8690	44.75	50
14.8707	44.19	50
14.8724	46.23	50
14.8741	47.33	50
14.8758	47.33	50
14.8776	44.05	50
14.8793	44.05	50
14.8810	45.48	50
14.8827	48.15	50
14.8844	47.01	50
14.8861	45.33	50
14.8878	44.75	50
14.8895	46.23	50
14.8913	46.23	50
14.8930	46.70	50
14.8947	46.70	50
14.8964	44.19	50
14.8981	43.63	50
14.8998	45.33	50
14.9015	47.98	50
14.9033	46.85	50
14.9050	45.19	50
14.9067	44.47	50
14.9084	45.93	50
14.9101	45.93	50
14.9118	47.33	50
14.9135	45.19	50
14.9153	44.47	50
14.9170	44.19	50
14.9187	46.23	50
14.9204	47.17	50
14.9221	47.17	50
14.9239	44.90	50
14.9256	44.90	50
14.9273	46.39	50
14.9290	48.82	50
14.9307	47.17	50
14.9324	44.90	50
14.9341	44.19	50
14.9359	46.08	50
14.9376	46.08	50
14.9393	46.54	50
14.9410	46.54	50
14.9427	44.33	50
14.9445	43.77	50
14.9462	45.63	50
14.9479	48.15	50
14.9497	46.85	50
14.9514	44.05	50
14.9531	44.05	50
14.9548	45.78	50
14.9565	45.78	50
14.9583	47.17	50
14.9600	45.04	50
14.9617	44.47	50
14.9634	44.33	50
14.9651	46.39	50
14.9668	47.65	50
14.9686	47.65	50
