49.16	50
15.3725	51.33	50
15.3743	49.51	50
15.3760	47.33	50
15.3777	47.33	50
15.3794	49.16	50
15.3811	51.52	50
15.3829	49.69	50
15.3846	47.33	50
15.3863	47.33	50
15.3881	49.16	50
15.3898	51.52	50
15.3915	49.87	50
15.3932	47.98	50
15.3949	47.33	50
15.3966	49.34	50
15.3983	51.71	50
15.4001	49.87	50
15.4018	47.82	50
15.4035	47.33	50
15.4052	49.16	50
15.4069	49.16	50
15.4086	50.05	50
15.4103	48.31	50
15.4120	47.65	50
15.4138	49.34	50
15.4155	49.34	50
15.4172	50.05	50
15.4189	48.31	50
15.4207	47.82	50
15.4224	49.34	50
15.4241	49.34	50
15.4258	50.05	50
15.4275	48.15	50
15.4292	47.33	50
15.4309	49.34	50
15.4326	49.34	50
15.4344	49.69	50
15.4361	48.15	50
15.4378	47.82	50
15.4395	49.87	50
15.4412	49.87	50
15.4430	49.87	50
15.4447	48.31	50
15.4464	48.31	50
15.4481	50.05	50
15.4499	50.05	50
15.4516	49.87	50
15.4533	47.82	50
15.4550	47.17	50
15.4567	47.17	50
15.4584	49.51	50
15.4602	49.69	50
15.4619	49.69	50
15.4636	47.98	50
15.4653	47.82	50
15.4670	49.87	50
15.4688	50.41	50
15.4705	50.41	50
15.4722	47.82	50
15.4740	47.33	50
15.4757	49.16	50
15.4774	49.87	50
15.4791	49.87	50
15.4808	47.98	50
15.4825	47.82	50
15.4842	49.87	50
15.4859	50.59	50
15.4876	50.59	50
15.4893	48.15	50
15.4910	47.33	50
15.4927	48.82	50
15.4945	49.69	50
15.4962	49.69	50
15.4979	47.82	50
15.4997	47.49	50
15.5014	49.34	50
15.5031	50.41	50
15.5048	50.41	50
15.5066	47.65	50
15.5083	47.01	50
15.5100	48.65	50
15.5117	50.05	50
15.5134	50.05	50
15.5151	47.33	50
15.5169	46.54	50
15.5186	48.31	50
15.5203	50.59	50
15.5220	48.99	50
15.5237	46.54	50
15.5255	46.54	50
15.5272	48.82	50
15.5289	51.15	50
15.5306	49.34	50
15.5323	47.17	50
15.5341	47.17	50
15.5358	49.34	50
15.5375	51.33	50
15.5392	49.51	50
15.5409	47.49	50
15.5426	47.49	50
15.5444	49.16	50
15.5461	51.52	50
15.5478	49.87	50
15.5495	47.82	50
15.5512	47.33	50
15.5530	49.16	50
15.5547	51.52	50
15.5564	49.87	50
15.5581	47.82	50
15.5598	47.33	50
15.5615	49.16	50
15.5633	49.16	50
15.5650	49.87	50
15.5667	47.98	50
15.5684	47.49	50
15.5702	49.69	50
15.5719	49.69	50
15.5736	50.23	50
15.5753	48.31	50
15.5770	47.82	50
15.5787	49.69	50
15.5804	49.69	50
15.5821	50.59	50
15.5838	48.65	50
15.5856	47.98	50
15.5873	49.51	50
15.5890	49.51	50
15.5907	49.87	50
15.5924	48.31	50
15.5941	47.98	50
15.5959	49.87	50
15.5976	49.87	50
15.5993	50.41	50
15.6010	48.65	50
15.6027	48.15	50
15.6044	49.51	50
15.6061	49.51	50
15.6078	50.23	50
15.6096	48.15	50
15.6113	47.49	50
15.6130	49.34	50
15.6147	49.34	50
15.6164	49.87	50
15.6181	48.15	50
15.6199	47.98	50
15.6216	47.65	50
15.6233	49.51	50
15.6250	50.41	50
15.6268	48.31	50
15.6285	47.82	50
15.6302	47.33	50
15.6320	49.16	50
15.6337	49.87	50
15.6354	49.87	50
15.6371	47.98	50
15.6388	47.98	50
15.6405	50.05	50
15.6422	50.59	50
15.6440	50.59	50
15.6457	47.49	50
15.6474	46.85	50
15.6491	48.48	50
15.6508	49.51	50
15.6525	49.51	50
15.6543	47.49	50
15.6560	47.33	50
15.6577	49.51	50
15.6594	50.23	50
15.6612	50.23	50
15.6629	47.49	50
15.6646	47.01	50
15.6663	48.82	50
15.6680	49.69	50
15.6698	49.69	50
15.6715	47.49	50
15.6732	47.33	50
15.6749	49.51	50
15.6766	51.91	50
15.6783	50.41	50
15.6801	47.33	50
15.6818	46.70	50
15.6835	48.65	50
15.6852	51.15	50
15.6870	49.69	50
15.6887	47.17	50
15.6904	47.17	50
15.6921	48.82	50
15.6939	51.15	50
15.6956	49.51	50
15.6973	47.33	50
15.6990	47.33	50
15.7007	49.16	50
15.7024	51.52	50
15.7041	49.87	50
15.7058	47.49	50
15.7075	47.49	50
15.7092	49.16	50
15.7110	51.52	50
15.7127	49.69	50
15.7144	47.82	50
15.7161	47.49	50
15.7178	49.16	50
15.7196	51.71	50
15.7213	50.23	50
15.7230	48.31	50
15.7247	47.65	50
15.7264	48.82	50
15.7281	48.82	50
15.7298	49.69	50
15.7315	47.82	50
15.7333	47.33	50
15.7350	49.34	50
15.7367	49.34	50
15.7384	50.41	50
15.7401	48.31	50
15.7418	47.65	50
15.7436	49.34	50
15.7453	49.34	50
15.7470	49.87	50
15.7487	48.15	50
15.7504	47.82	50
15.7521	49.87	50
15.7539	49.87	50
15.7556	50.23	50
15.7573	48.31	50
15.7590	47.82	50
15.7608	49.34	50
15.7625	49.34	50
15.7642	50.23	50
15.7659	48.31	50
15.7676	47.82	50
15.7693	49.51	50
15.7710	49.51	50
15.7727	49.87	50
15.7745	48.15	50
15.7762	47.98	50
15.7779	50.05	50
15.7796	50.05	50
15.7814	49.87	50
15.7831	47.82	50
15.7848	47.17	50
15.7865	47.01	50
15.7882	49.34	50
15.7899	49.87	50
15.7916	49.87	50
15.7934	48.31	50
15.7951	47.65	50
15.7968	49.87	50
15.7985	50.41	50
15.8002	50.41	50
15.8019	47.82	50
15.8037	47.01	50
15.8054	48.82	50
15.8071	50.23	50
15.8088	50.23	50
15.8105	47.17	50
15.8122	46.70	50
15.8140	48.65	50
15.8157	49.34	50
15.8174	49.34	50
15.8191	47.33	50
15.8208	47.17	50
15.8225	49.51	50
15.8243	50.05	50
15.8260	50.05	50
15.8277	47.49	50
15.8294	46.85	50
15.8312	48.48	50
15.8329	50.96	50
15.8346	49.51	50
15.8363	46.85	50
15.8381	46.85	50
15.8398	48.99	50
15.8415	51.33	50
15.8432	49.69	50
15.8449	47.17	50
15.8467	47.17	50
15.8484	49.34	50
15.8501	51.91	50
15.8518	50.41	50
15.8535	47.01	50
15.8552	47.01	50
15.8569	48.31	50
15.8586	50.77	50
15.8604	48.99	50
15.8621	47.01	50
15.8638	46.70	50
15.8655	48.82	50
15.8672	48.82	50
15.8690	49.87	50
15.8707	47.98	50
15.8724	47.33	50
15.8741	49.34	50
15.8758	49.34	50
15.8776	49.69	50
15.8793	47.98	50
15.8810	47.98	50
15.8827	49.51	50
15.8844	49.51	50
15.8862	50.23	50
15.8879	48.31	50
15.8896	47.82	50
15.8913	49.51	50
15.8930	49.51	50
15.8947	49.87	50
15.8964	48.31	50
15.8981	47.98	50
15.8999	50.05	50
15.9016	50.05	50
15.9033	49.87	50
15.9050	47.98	50
15.9067	47.33	50
15.9084	49.16	50
15.9102	49.16	50
15.9119	49.69	50
15.9136	48.15	50
15.9153	47.82	50
15.9171	49.87	50
15.9188	49.87	50
15.9205	50.23	50
15.9222	48.48	50
15.9239	48.15	50
15.9256	47.65	50
15.9273	49.51	50
15.9291	49.87	50
15.9308	48.15	50
15.9325	47.98	50
15.9342	47.82	50
15.9359	49.87	50
15.9377	50.41	50
15.9394	48.48	50
